Environments,Algorithms,x1,reward,steps,time,episodes
Cartpolev0,DQN_CRL,0.020711623,1.0,29,5.783669948577881,1
Cartpolev0,DQN_CRL,0.0015799856,1.0,30,6.229414939880371,1
Cartpolev0,DQN_CRL,-0.02144749,1.0,31,6.680155992507935,1
Cartpolev0,DQN_CRL,-0.040572617,1.0,32,7.132897138595581,1
Cartpolev0,DQN_CRL,-0.055803657,1.0,33,7.52767014503479,1
Cartpolev0,DQN_CRL,-0.07495143,1.0,34,7.974414348602295,1
Cartpolev0,DQN_CRL,-0.09801938,1.0,35,8.403187036514282,1
Cartpolev0,DQN_CRL,-0.1172119,1.0,36,8.872898817062378,1
Cartpolev0,DQN_CRL,-0.14033508,1.0,37,9.30665111541748,1
Cartpolev0,DQN_CRL,-0.1595999,1.0,38,9.744399309158325,1
Cartpolev0,DQN_CRL,0.04011459,1.0,39,10.095198154449463,2
Cartpolev0,DQN_CRL,0.03526328,1.0,40,10.532946586608887,2
Cartpolev0,DQN_CRL,0.026496302,1.0,41,10.933717489242554,2
Cartpolev0,DQN_CRL,0.021615624,1.0,42,11.386459589004517,2
Cartpolev0,DQN_CRL,0.02061717,1.0,43,11.856207609176636,2
Cartpolev0,DQN_CRL,0.015696878,1.0,44,12.29393744468689,2
Cartpolev0,DQN_CRL,0.014656409,1.0,45,12.714696645736694,2
Cartpolev0,DQN_CRL,0.009692088,1.0,46,13.136454343795776,2
Cartpolev0,DQN_CRL,0.00080370996,1.0,47,13.59919261932373,2
Cartpolev0,DQN_CRL,-0.004209933,1.0,48,14.01495099067688,2
Cartpolev0,DQN_CRL,-0.0053543076,1.0,49,14.461694240570068,2
Cartpolev0,DQN_CRL,-0.0104302075,1.0,50,14.90444040298462,2
Cartpolev0,DQN_CRL,-0.019437961,1.0,51,15.326199054718018,2
Cartpolev0,DQN_CRL,-0.02458349,1.0,52,15.757951498031616,2
Cartpolev0,DQN_CRL,-0.03366609,1.0,53,16.163718223571777,2
Cartpolev0,DQN_CRL,-0.03889616,1.0,54,16.64444398880005,2
Cartpolev0,DQN_CRL,-0.04028174,1.0,55,17.117172241210938,2
Cartpolev0,DQN_CRL,-0.04561254,1.0,56,17.56093692779541,2
Cartpolev0,DQN_CRL,-0.020115737,1.0,57,17.936702251434326,3
Cartpolev0,DQN_CRL,-0.023449525,1.0,58,18.40143585205078,3
Cartpolev0,DQN_CRL,-0.03067312,1.0,59,18.81819748878479,3
Cartpolev0,DQN_CRL,-0.041788433,1.0,60,19.224963665008545,3
Cartpolev0,DQN_CRL,-0.048994508,1.0,61,19.63173007965088,3
Cartpolev0,DQN_CRL,-0.052295707,1.0,62,20.068479537963867,3
Cartpolev0,DQN_CRL,-0.059499945,1.0,63,20.521220207214355,3
Cartpolev0,DQN_CRL,-0.07060859,1.0,64,21.01895499229431,3
Cartpolev0,DQN_CRL,-0.085624464,1.0,65,21.469677686691284,3
Cartpolev0,DQN_CRL,-0.104551464,1.0,66,21.940406799316406,3
Cartpolev0,DQN_CRL,-0.12739405,1.0,67,22.33717918395996,3
Cartpolev0,DQN_CRL,-0.14635572,1.0,68,22.753942251205444,3
Cartpolev0,DQN_CRL,-0.16144823,1.0,69,23.150712490081787,3
Cartpolev0,DQN_CRL,-0.17268276,1.0,70,23.577467679977417,3
Cartpolev0,DQN_CRL,-0.18006931,1.0,71,24.041202306747437,3
Cartpolev0,DQN_CRL,-0.028228994,1.0,72,24.415987730026245,4
Cartpolev0,DQN_CRL,-0.023901755,1.0,73,24.97166872024536,4
Cartpolev0,DQN_CRL,-0.015659906,1.0,74,25.436402797698975,4
Cartpolev0,DQN_CRL,-0.0035021177,1.0,75,25.927122116088867,4
Cartpolev0,DQN_CRL,0.012574064,1.0,76,26.43183207511902,4
Cartpolev0,DQN_CRL,0.02477071,1.0,77,26.904579877853394,4
Cartpolev0,DQN_CRL,0.040894996,1.0,78,27.398277521133423,4
Cartpolev0,DQN_CRL,0.06094889,1.0,79,27.88499903678894,4
Cartpolev0,DQN_CRL,0.077142075,1.0,80,28.37671661376953,4
Cartpolev0,DQN_CRL,0.034659453,1.0,81,28.820462465286255,5
Cartpolev0,DQN_CRL,0.03049431,1.0,82,29.37314510345459,5
Cartpolev0,DQN_CRL,0.030230304,1.0,83,29.834880352020264,5
Cartpolev0,DQN_CRL,0.03386571,1.0,84,30.243645906448364,5
Cartpolev0,DQN_CRL,0.03359571,1.0,85,30.722371339797974,5
Cartpolev0,DQN_CRL,0.029421905,1.0,86,31.15912127494812,5
Cartpolev0,DQN_CRL,0.029149106,1.0,87,31.581878423690796,5
Cartpolev0,DQN_CRL,0.032775532,1.0,88,32.00265669822693,5
Cartpolev0,DQN_CRL,0.040301125,1.0,89,32.47536826133728,5
Cartpolev0,DQN_CRL,0.05172751,1.0,90,32.9181125164032,5
Cartpolev0,DQN_CRL,0.06705782,1.0,91,33.35886001586914,5
Cartpolev0,DQN_CRL,0.08629631,1.0,92,33.78161835670471,5
Cartpolev0,DQN_CRL,0.10164415,1.0,93,34.22438383102417,5
Cartpolev0,DQN_CRL,0.113110445,1.0,94,34.61913728713989,5
Cartpolev0,DQN_CRL,0.1285028,1.0,95,35.07587480545044,5
Cartpolev0,DQN_CRL,0.14782336,1.0,96,35.521620988845825,5
Cartpolev0,DQN_CRL,0.16328023,1.0,97,35.91939306259155,5
Cartpolev0,DQN_CRL,0.1748855,1.0,98,36.32016205787659,5
Cartpolev0,DQN_CRL,0.049094014,1.0,99,36.69696521759033,6
Cartpolev0,DQN_CRL,0.044735443,1.0,100,37.13669443130493,6
Cartpolev0,DQN_CRL,0.036474366,1.0,101,37.55145597457886,6
Cartpolev0,DQN_CRL,0.032114152,1.0,102,37.99820017814636,6
Cartpolev0,DQN_CRL,0.023846788,1.0,103,38.47392678260803,6
Cartpolev0,DQN_CRL,0.019475507,1.0,104,38.945659160614014,6
Cartpolev0,DQN_CRL,0.011192549,1.0,105,39.38640379905701,6
Cartpolev0,DQN_CRL,-0.001003365,1.0,106,39.82415270805359,6
Cartpolev0,DQN_CRL,-0.009311351,1.0,107,40.20993161201477,6
Cartpolev0,DQN_CRL,-0.021539548,1.0,108,40.6626718044281,6
Cartpolev0,DQN_CRL,-0.037690062,1.0,109,41.12440776824951,6
